schedule,column_id,column_name,description,valid_from_year,valid_to_year,change_notes
26,08,Education Taxes by School Board:  French - Public,No description provided.,,,
26,09,Education Taxes by School Board:  English - Separate,No description provided.,,,
26,10,Education Taxes by School Board:  French - Separate,No description provided.,,,
26,11,Education Taxes by School Board:  Other,No description provided.,,,
26,12,French - Public,The portion of Education PIL amounts that are passed onto the French-Public school board should be reported in this column.,,,
26,13,English - Separate,The portion of Education PIL amounts that are passed onto the English-Separate school board should be reported in this column.,,,
26,14,French - Separate,The portion of Education PIL amounts that are passed onto the French-Separate school board should be reported in this column.,,,
26,15,Other,"The portion of Education PIL amounts that are passed onto any other school boards other than the English-Public, French-Public, English-Separate or French-Separate school boards should be reported in this column.",,,
28,01,Lower-tier Municipalities,This column displays the name of each of the lower-tier municipalities within the uppertier municipality.,,,
28,02,MAH Code,"This column displays the Municipal Affairs and Housing Code (MAH Code) which is associated with the municipality.  The MAH Code is a five-digit code which is unique to each municipality in the province.

The five-digit MAH Code is divided into three parts.

First two digits: Code which identifies the Region, County, or District where the municipality is located.

Third digit: Code which identifies the municipality’s status according to the following table:

|**Digit**|**Municipal Status**|
|---|---|
|0|Upper Tier|
|1|City|
|3|Separated Town|
|4|Town|
|5|Village|
|6|Township / Municipality|

Last two digits: Represent a sequence code to ensure code uniqueness amongst municipalities of the same status in the same geographic region, county, or district.",,,
28,03,Municipal Assessment Code,"This column displays the Municipal Assessment Code (Asmt Code) which is associated with the municipality.

The Municipal Assessment Code is a four-digit code which is unique to each municipality in the province.

The Municipal Assessment Code is used by the Municipal Property Assessment Corporation (MPAC) to identify properties in the assessment roll.  The first four digits of properties roll number begins with this code.

The four-digit code is divided into two parts:

First two digits:  Identifies the Region, County, or District where the municipality is located.

Last two digits:  Identifies each Municipality

**Example:** 1946 Town of Aurora (in York Region)

**19** Represents York R **46** Represents Aurora T",,,
28,04,General Purpose Levy,"For each lower-tier municipality, the General-Purpose Levy for upper-tier purposes should be reported in this column.

This amount is reported by each lower-tier municipality, in Schedule 22, Municipal and School Board Taxation, line 9299 (Total General-Purpose Levy), column 13 (Municipal Taxes:  Upper-tier).

Column 5 - Upper-tier Special Area Levies

For each lower-tier municipality, the total of all Upper-tier Special Area Levies should be reported in this column.

This amount is reported by each lower-tier municipality, in Schedule 22, Municipal and School Board Taxation, line 9699 (Total Upper-tier Special Area Levies), column 13 (Municipal Taxes:  Upper-tier).

This amount equals the sum of all subtotals for upper-tier special area levies that are reported (Lines 9601, 9602, 9603…).",,,
28,06,Supplementary Taxes,"For each lower-tier municipality, the Supplementary Taxes should be reported in this column.

This amount is reported by each lower-tier municipality, in Schedule 22, Municipal and School Board Taxation, line 9799 (Total of all Supplementary Taxes), column 13 (Municipal Taxes:  Upper-tier).",,,
28,07,Amounts Added to Tax Bills,"For each lower-tier municipality, the Amounts Added to Tax Bills should be reported in this column.

This amount is reported by each lower-tier municipality, in Schedule 22, Municipal and School Board Taxation, line 9890 (Subtotal:  Amounts Added to Tax Bills), column 13 (Municipal Taxes: Upper-tier).",,,
28,13,Other Taxation Amounts,"For each lower-tier municipality, the Other Taxation Amounts should be reported in this column.

This amount is reported by each lower-tier municipality, in Schedule 22, Municipal and School Board Taxation, line 9892 (Subtotal:  Other Taxation Amounts), column 13 (Municipal Taxes:  Upper-tier).",,,
28,08,Payments-In-Lieu,"For each lower-tier municipality, the total Payments-In-Lieu of Taxation should be reported in this column.",,,
28,09,5% Capping Limit Adjustment,"For each lower-tier municipality, the surplus or deficit of taxation for upper-tier purposes which occurs because of the 5% Capping Limit program should be reported (Refer to Instructions for Section 2 of Schedule 20 for further information).

The School Tax Recovery amount should be included in the amounts shown for each lower-tier municipality.",,,
28,10,PLUS:  UT Tax Adjustment Applied to Taxation,"For each lower-tier municipality, the Total Tax Adjustments Applied to Taxation should be reported.

This amount is reported by each lower-tier municipality in Schedule 72, Continuity of Taxes Receivable, on line 2899 (TOTAL Tax Adjustments before Adjustments) in column 8 (Upper-tier).",,,
28,11,LESS:  UT Tax Adjustment Recovered from Allowances,Upper-tier municipalities should enter amounts in respect of allowance for doubtful accounts that pertain to each lower-tier municipality.,,,
28,12,Total,"This automatically calculated amount is equal to the sum of the amounts in columns 4 to 10 and 13, less the amounts in column 11.

For each lower-tier municipality shown on this schedule, the TOTAL can be described by the following:",,,
72,01,School Boards:  English Public,The tax adjustments recoverable from the English Public-school board should be reported in this column.,,,
72,02,School Boards:  French Public,The tax adjustments recoverable from the French Public-school board should be reported in this column.,,,
72,03,School Boards:  English Separate,The tax adjustments recoverable from the English   Separate school board should be reported in this column.,,,
72,04,School Boards:  French Separate,The tax adjustments recoverable from the French   Separate school board should be reported in this column.,,,
72,05,School Boards: Other,The tax adjustments recoverable from other school boards should be reported in this column.,,,
72,06,Total Education,The tax adjustments recoverable from all school boards should be displayed in this column.  The Total Education amount in column 6 is equal to the sum of columns 1 through 5.,,,
72,07,Lower Tier (Single Tier),This column records tax adjustment funded from the general accounts of the local municipality.,,,
72,08,Upper Tier,"In a two-tier system, lower tiers use this column to record tax adjustments recoverable from the upper tier municipality.",,,
